35	-95	80	39	52
-89	-192	129	-97	-152
-49	60	145	-7	58
63	181	-183	-63	-112
128	-12	4	158	-191
-20	70	-197	-65	-140
179	102	-74	-22	21
-36	71	93	-120	-86
159	94	169	9	146
-69	191	82	-125	-66
87	120	-90	-92	-174
88	48	75	-129	31
-39	-86	-161	147	28
-192	-78	154	-157	-174
-191	72	129	-131	101
9	75	-93	181	-125
31	-44	77	-20	-110
-191	-44	-86	83	-78
-64	164	-6	139	139
-147	12	144	-29	-39
-78	198	122	76	170
-85	185	156	82	104
-180	149	-159	148	-127
-62	-187	93	166	-73
27	-109	-39	-97	74
-176	81	86	128	-128
124	168	14	-74	75
-122	-49	30	8	41
23	75	186	-55	142
-56	-114	183	95	157
-53	143	80	-110	-13
-200	-81	-154	129	40
-19	-26	147	147	-26
64	-117	-61	-181	63
121	145	-172	-97	101
124	100	111	-41	-170
170	122	-78	125	156
99	-158	-141	89	193
-30	-195	93	-114	-152
-24	148	-51	-39	17
81	-89	52	-180	-122
-106	-48	-122	192	26
107	-88	-141	107	-155
-37	-20	-122	27	26
-34	176	-32	52	-171
80	46	-197	54	-11
8	107	-179	169	-178
151	-187	-183	-82	122
177	-89	-106	3	169
-174	-72	130	32	-12
101	-70	1	-138	25
193	-52	-59	-161	-24
60	129	142	-199	-160
-123	-147	72	195	190
-200	-200	-186	-167	184
98	-3	-104	26	-29
45	155	-8	-30	-24
76	-133	162	-117	-197
-58	105	-190	-38	-21
173	18	189	-16	-12
118	-167	-145	103	28
-14	-155	86	-124	-109
-111	-131	133	23	183
200	0	-98	69	-13
-140	-168	-61	-40	-8
-54	-173	34	56	33
-120	-86	-14	37	-78
-163	-95	-2	-94	-78
-118	-150	-184	24	112
-169	144	-173	-135	-47
-81	181	-128	-17	-130
46	21	105	-42	31
-191	-22	-123	28	-134
-58	-67	30	87	-5
-14	-116	-153	-197	-68
-153	129	-85	121	-16
33	192	176	-105	166
107	72	13	106	199
-52	-15	3	191	108
178	93	182	-156	-110
-22	-158	139	129	-48
125	118	-140	43	7
-78	44	-116	-186	-73
130	200	-22	31	-196
-118	19	46	-54	180
129	-122	141	-118	62
117	-69	27	34	8
-52	143	-49	-158	-63
-32	-178	-52	-79	-171
-60	68	-198	83	187
80	130	119	-15	-67
-174	-57	-91	-56	-9
159	-104	124	76	-126
109	-42	190	59	104
100	-190	-137	133	-173
-40	-171	140	195	72
190	-183	157	-25	145
-104	81	137	-103	0
-33	-31	-7	-70	-179
-194	191	101	145	-193
90	-156	-101	144	-50
-35	173	-171	15	-89
-32	-16	-59	-68	-181
-145	122	-160	28	28
-122	138	-142	-133	-167
84	-78	-141	-156	67
55	18	191	-17	-55
98	-50	-189	98	7
-54	-61	64	157	16
-120	-125	125	172	-37
-26	-17	33	23	161
191	77	117	-142	193
-7	-22	141	-151	-153
1	-137	152	-194	-179
28	-120	55	173	63
185	125	128	161	-197
-171	-127	-157	51	142
-148	152	171	36	-19
25	182	-176	182	-10
107	-78	-21	-122	14
18	129	115	33	147
-112	-52	-66	42	9
169	14	72	197	-103
-58	-94	39	116	-64
-26	91	130	10	-61
105	45	-200	147	-107
28	99	-112	-188	128
-70	116	-159	-156	-60
-28	-45	-168	-5	43
-1	179	145	-165	-39
75	-4	126	-41	154
106	-83	-46	-185	8
-34	-89	-138	-78	162
60	97	-74	-194	12
99	13	87	78	-99
-4	127	18	182	17
-150	-116	130	95	-180
-107	20	175	-189	31
-3	120	116	12	198
-199	-30	90	186	-169
165	181	34	54	117
158	-142	92	45	-7
10	-12	-116	-46	-54
-171	-142	148	104	46
-130	73	-169	58	-102
10	-193	22	52	148
-198	181	77	155	-71
-122	-161	-7	-154	5
-192	-153	177	51	123
59	157	54	160	-191
10	122	-183	-31	186
89	152	-187	102	-77
-74	-173	144	125	185
-78	-195	27	148	161
-85	101	103	-175	60
38	-156	54	-51	41
148	-108	-60	-5	-137
-19	-56	-12	152	174
-117	-82	-130	-153	195
50	-129	4	-70	129
-37	-170	-121	111	45
30	-170	-173	-88	141
51	6	-145	-183	110
116	-123	-80	-109	-95
89	-113	172	55	52
9	150	-12	-86	-138
193	112	-81	45	-139
-47	57	-55	-72	148
153	-66	164	-186	-163
71	127	29	27	-158
161	-36	54	-134	198
-118	-90	-35	-43	171
-143	-82	-198	141	-7
-110	187	104	107	26
-54	106	-72	28	-1
-122	125	6	78	133
134	108	-122	161	-93
80	42	-63	41	164
34	-93	-99	-111	42
122	-83	170	153	149
-191	-142	194	-158	-56
79	-170	-175	-68	-176
-45	-192	-94	-71	124
194	-53	45	160	110
178	-180	108	-175	-9
-34	-189	-162	-24	76
10	-149	-157	139	33
9	84	181	3	-158
-88	16	198	-31	-159
-16	137	65	-104	-102
78	129	13	-133	78
-102	-46	-38	117	33
102	-151	26	41	-175
34	126	-112	-9	-156
16	70	-194	-2	186
-157	137	59	-177	-83
18	156	-44	-158	120
-70	-94	-26	-126	-181
-135	-150	117	84	66
-38	126	-6	173	-111
155	27	182	-190	-88
112	-74	44	99	2
-117	-15	-158	-182	-43
-198	51	-60	80	-61
166	192	176	47	-168
189	138	-192	-35	-47
-62	-15	-35	63	22
-133	27	-45	-93	-84
87	-1	118	132	-127
12	153	29	-118	185
14	146	129	138	28
-49	-77	113	101	152
-149	-127	-84	94	-118
-100	130	-117	21	1
-37	-119	138	-43	25
-2	116	122	-43	-150
62	62	77	-170	7
73	-159	19	12	-151
-34	-28	-165	-139	-68
-150	-158	33	177	-9
-18	-18	45	6	3
73	70	174	-28	160
73	-94	-20	48	-119
47	27	-52	124	26
-33	-108	-90	175	-91
35	170	120	-1	-101
118	-173	-172	114	25
-140	-41	-52	179	-35
189	105	-110	-164	182
-84	146	-7	136	184
-148	-105	-70	10	85
159	-2	-14	-166	-189
150	-61	90	114	-15
-87	125	-91	-161	0
132	-180	13	-166	-105
-13	-38	-8	-183	126
18	-55	-134	-18	187
44	-143	37	-87	158
-109	-67	44	-118	-163
-167	165	26	-47	123
-55	-168	135	-188	182
42	145	-76	-23	-25
-73	-90	26	-91	-137
8	134	-160	-2	128
-3	93	-83	-168	128
144	-113	-135	-100	80
-192	25	96	121	57
-193	-176	109	39	-160
-101	-124	19	-169	-130
-81	55	104	49	143
-166	143	-43	-159	-19
-7	8	-78	17	98
-127	198	108	-5	129
-123	31	197	-142	-44
-166	-68	-174	133	-27
93	136	-130	-52	-197
156	-115	109	-69	-9
-104	21	-89	-146	156
-151	-54	194	46	86
109	-123	55	48	-11
-163	-159	195	-63	-197
164	-122	-41	-177	55
128	-192	73	123	-125
-44	151	-33	-143	-159
-80	93	198	0	-27
-184	15	-41	-72	179
-18	132	-181	-134	-174
-59	81	-150	186	196
84	3	-44	-94	9
89	-145	-150	50	-131
38	149	66	85	-4
-81	-124	37	-45	24
131	-105	-76	15	-81
163	120	-77	-124	34
-97	-160	-157	88	150
-34	89	-57	183	-107
-175	70	133	-155	-42
-50	-98	-129	-105	-97
42	-3	-162	102	32
51	4	-81	-144	20
-148	156	-29	178	81
88	-8	158	89	-92
-24	16	-5	-161	20
-103	-154	-176	98	-75
27	123	-37	-135	-163
80	68	-45	126	65
-63	132	85	-79	-9
-60	198	11	-62	-114
-58	42	-163	148	-184
-2	-160	182	87	-67
-154	-29	-124	-40	-33
-115	153	-82	86	167
-103	190	-20	88	-64
-120	-97	-1	123	-190
85	127	-130	-8	28
-26	-58	155	-85	-58
-85	176	149	-137	72
-142	152	-156	62	149
-191	24	-134	-132	182
-49	84	142	-58	-75
180	-42	-124	16	-43
-58	-139	-34	83	82
20	-88	-99	140	-142
35	-164	132	121	-121
-46	104	114	151	31
-94	137	199	-28	-43
131	175	-144	-184	195
-89	46	-39	98	2
33	-173	-130	-152	11
196	139	3	152	-148
26	-3	-17	-147	-44
16	-170	-3	68	-35
12	43	93	-109	13
-76	14	6	167	-19
140	166	-14	153	178
125	-76	-141	-178	-94
112	156	-180	-20	57
93	103	148	-166	-171
-27	-29	120	103	-6
-174	-55	183	126	117
5	-86	85	111	-112
60	-185	-132	28	-60
43	-182	-76	185	-47
186	-12	20	-39	183
53	11	-39	101	-21
-156	-51	109	-49	162
191	168	127	185	-79
194	-126	98	17	-98
-153	-150	-153	43	2
-45	138	-111	60	-52
-43	-191	175	-178	28
193	153	191	-19	-79
-106	-152	-177	-198	45
-68	-162	-130	176	-176
-150	-45	131	51	-122
182	143	-78	-148	-68
13	26	-182	135	95
-159	86	-64	-153	61
-60	-193	-12	68	-90
-69	78	85	124	167
28	193	-113	23	-189
106	89	21	121	143
10	-47	-198	76	-159
2	-184	149	-115	-175
-4	-187	20	-181	82
-73	13	150	-38	151
151	-5	70	112	21
-120	168	-159	39	-196
-177	98	27	49	-34
-53	96	-200	-23	-102
-186	8	122	-40	0
59	67	-96	55	13
-127	176	-100	-89	74
169	-8	164	114	-50
112	4	-132	-133	133
134	81	-126	162	19
150	-199	45	-113	-73
108	-5	129	-44	164
-177	-19	-39	-89	49
44	-180	107	79	9
62	60	-170	-186	-119
187	70	23	147	-4
121	-11	-58	146	-188
49	187	122	56	-131
175	-87	-146	151	185
177	-132	43	108	22
25	94	-72	75	39
194	-1	-6	148	124
-146	-197	142	-12	-54
-183	-4	140	45	-200
61	-97	-75	157	-107
-136	-143	40	13	-66
-95	182	-90	-150	4
44	76	182	66	8
171	171	83	0	38
143	69	-163	-54	-200
-82	-109	-13	-173	-65
-197	169	-115	199	-99
-139	-112	-107	64	195
26	58	137	-158	-69
-12	-63	39	25	-96
-9	139	-120	-96	-134
45	-170	-199	-71	-158
-65	-15	90	-125	-50
-14	30	170	33	34
-30	-110	-115	-61	-28
79	169	170	194	45
-160	-161	-6	109	-59
-76	9	-12	104	-164
-99	92	-23	169	22
-170	169	-101	125	6
57	58	21	197	23
-58	166	93	198	-167
-163	-80	-70	-114	137
-158	-158	-21	-172	150
-152	97	175	-195	-39
88	-56	-143	-79	53
-162	67	6	-24	171
-190	59	-178	3	74
45	3	62	149	-74
132	3	156	151	-91
-38	-45	-180	148	-97
51	60	-143	57	-155
111	-154	123	45	196
-99	-198	-100	-73	15
-56	-154	-17	179	-49
116	-137	-155	-158	-137
-151	23	84	157	21
-193	14	-64	7	40
-35	-72	-5	87	-101
156	190	57	-129	-134
85	42	102	-18	-29
